nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT05743595,"Neoantigen-based Personalized DNA Vaccine With Retifanlimab PD-1 Blockade Therapy in Patients With Newly Diagnosed, Unmethylated Glioblastoma",ACTIVE_NOT_RECRUITING,,PHASE1,27,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2023-10-27,2026-04-07,2029-03-09,2023-02-24,2026-05-04,Washington University School of Medicine,"Incyte Corporation; PapiVax Biotech, Inc.; The Foundation for Barnes-Jewish Hospital",Unmethylated Glioblastoma,Personalized Neoantigen DNA vaccine; Retifanlimab; TDS-IM v 2.0 electroporation device,Safety as measured by treatment-related dose-limiting toxicity (DLT) rate related to vaccination,United States,
NCT05889598,Resistance Exercise Training to Improve Bone and Articular Cartilage Health in Women,ACTIVE_NOT_RECRUITING,,NA,110,ESTIMATED,RANDOMIZED,NONE,PREVENTION,2022-03-01,2026-12-31,2027-12,2023-06-05,2026-04-21,Loughborough University,Versus Arthritis,Osteoporosis; Osteoarthritis,Ballistic Resistance Lower Body Strength Training; Conventional Resistance Lower Body Strength Training,Change in Femoral neck bone mineral content from baseline; Change in Femoral neck bone mineral density from baseline,United Kingdom,
NCT05933577,A Clinical Study of Intismeran Autogene (V940) Plus Pembrolizumab in People With High-Risk Melanoma (V940-001),ACTIVE_NOT_RECRUITING,,PHASE3,1089,ESTIMATED,RANDOMIZED,TRIPLE,TREATMENT,2023-07-19,2029-10-26,2030-09-26,2023-07-06,2025-09-24,Merck Sharp & Dohme LLC,"ModernaTX, Inc.",Melanoma,Intismeran autogene; Pembrolizumab; Placebo,Recurrence-Free Survival (RFS),Argentina; Australia; Belgium; Brazil; Canada; Chile; Colombia; Denmark; France; Germany; Greece; Israel; Italy; Japan; New Zealand; Poland; Portugal; South Africa; South Korea; Spain; Sweden; Switzerland; Taiwan; Turkey (Türkiye); United Kingdom; United States,Y
NCT06305767,A Clinical Study of Intismeran Autogene (V940) Treatment and Pembrolizumab in People With Bladder Cancer (V940-005/INTerpath-005),ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",230,ESTIMATED,RANDOMIZED,DOUBLE,TREATMENT,2024-03-28,2027-04-23,2031-10-20,2024-03-12,2026-01-13,Merck Sharp & Dohme LLC,"ModernaTX, Inc.",Bladder Cancer,Pembrolizumab; Intismeran autogene; Placebo; Enfortumab Vedotin; Surgery (RC plus PLND),Adjuvant Cohort: Disease Free Survival (DFS); Perioperative Cohort: Number of Participants Who Experience an Adverse Event (AE); Perioperative Cohort: Number of Participants Who Discontinue Study Treatment Due to AE,Australia; Canada; Chile; Colombia; France; Germany; Italy; New Zealand; Peru; Poland; South Korea; Spain; Sweden; Turkey (Türkiye); United Kingdom; United States,Y
NCT06307431,A Study of Adjuvant Intismeran Autogene (V940) and Pembrolizumab in Renal Cell Carcinoma (V940-004).,ACTIVE_NOT_RECRUITING,,PHASE2,272,ESTIMATED,RANDOMIZED,TRIPLE,TREATMENT,2024-04-10,2028-01-08,2032-06-08,2024-03-12,2026-07-13,Merck Sharp & Dohme LLC,"ModernaTX, Inc.",Renal Cell Carcinoma,Intismeran autogene; Pembrolizumab; Placebo,Disease-Free Survival (DFS),Argentina; Australia; Canada; Chile; France; Germany; Italy; Poland; South Korea; Spain; Taiwan; Turkey (Türkiye); United Kingdom; United States,Y
NCT06342908,A Vaccine (Neoantigen-Targeted ppDC) for the Treatment of H3 G34-mutant Diffuse Hemispheric Glioma,ACTIVE_NOT_RECRUITING,,PHASE1,6,ESTIMATED,NA,NONE,TREATMENT,2024-06-14,2027-03-08,2028-01-09,2024-04-02,2026-02-17,Jonsson Comprehensive Cancer Center,,"Diffuse Hemispheric Glioma, H3 G34-Mutant",Biospecimen Collection; Dendritic Cell Therapy; Leukapheresis; Magnetic Resonance Imaging; Poly ICLC,Incidence of regimen-limiting toxicities,United States,
NCT06631079,Personalised Neoantigen-targeting Cancer Vaccine NECVAX-NEO1 in Anti-PD-1/PD-L1 Therapy in Patients With Solid Tumors,ACTIVE_NOT_RECRUITING,,"PHASE1,PHASE2",20,ESTIMATED,NA,NONE,TREATMENT,2024-10-07,2026-07-31,2028-12-31,2024-10-08,2026-01-08,NEC Bio B.V,NEC Bio Therapeutics,Solid Tumor,NECVAX-NEO1,Adverse Events; Serious Adverse Events; Change from Baseline in Laboratory Parameters; Change from Baseline in Electrocardiograms,Germany; Lithuania; Spain,
NCT06672055,A Study to Evaluate VXA-CoV2-3.3 COVID-19 Vaccine Against Currently Approved/Authorized mRNA COVID-19 Injectable Booster Vaccine in Adults Previously Immunized Against COVID-19 Infection,ACTIVE_NOT_RECRUITING,,PHASE2,5485,ESTIMATED,RANDOMIZED,DOUBLE,PREVENTION,2024-10-08,2027-05,2027-05,2024-11-04,2026-06-25,Vaxart,,SARS-CoV2; COVID-19,VXA-CoV2-3.1; COMIRNATY®; VXA-CoV2-3.3,KP.2 Cohorts: Percentage of Participants with First Occurrence of Symptomatic Polymerase Chain Reaction (PCR)-Positive COVID-19 at 14 Days Post-vaccination; KP.2 Cohorts: Percentage of Participants with First Occurrence of Symptomatic PCR-Positive COVID-19 at 12 Months Post-vaccination; XBB Sentinel Cohorts: Percentage of Participants who Experience any Solicited Local Reactogenicity Through 7 Day,United States,
NCT07729241,COVICI-SURV: COVID-19 Vaccination Around ICI Start and Survival,ACTIVE_NOT_RECRUITING,,,95015,ESTIMATED,,,,2020-12-28,2024-12-31,2026-08-01,2026-07-27,2026-07-27,Groupe Hospitalier Pitie-Salpetriere,"APHP; Sorbonne University; Institut National de la Santé Et de la Recherche Médicale, France",Cancer; Immune Checkpoint Inhibitors; COVID-19 Vaccination; Survival,,All-cause mortality after ICI initiation,France,
NCT05014607,Personalized Multi-peptide Vaccination in Combination With the TLR1/2 Ligand XS15 in Cancer Patients,AVAILABLE,,,,,,,,,,,2021-08-20,2024-05-09,University Hospital Tuebingen,,Cancer,Personalized multi-peptide vaccine,,,
NCT05356312,Glioblastoma and Individualized Therapies,AVAILABLE,,,,,,,,,,,2022-05-02,2024-03-01,Zentrum fur Humangenetik Tuebingen,,"Glioma, Malignant",Vaccination,,Germany,
NCT06963697,Expanded Access To Neoantigen Synthetic Long Peptide Vaccines in Patients With Local Or Metastatic Solid Tumors,AVAILABLE,,,,,,,,,,,2025-05-09,2026-01-15,Jaime Leandro Foundation for Therapeutic Cancer Vaccines,,Cancer,Personalized Synthetic Long Peptide Vaccine,,United States,
NCT07612930,Expanded Access to PCNAT-01 for Patients With Resected Pancreatic Ductal Adenocarcinoma Following Surgical Resection and Adjuvant Therapy,AVAILABLE,,,,,,,,,,,2026-05-29,2026-05-29,"Anda Biopharmaceutical Development (Shenzhen) Co., Ltd.",,Pancreatic Ductal Adenocarcinoma (PDAC),PCNAT-01,,,
NCT07614048,Intermediate-size IND for Treatment of Patients With Advanced Cancer Using T Cells Engineered to Express TCR Targeting Mutant KRAS,AVAILABLE,,,,,,,,,,,2026-05-29,2026-07-23,Providence Health & Services,,PDAC - Pancreatic Ductal Adenocarcinoma; Colorectal Cancer,Cyclophosphamide; Fludarabine; Cell infusion,,,
NCT00019929,Vaccine Therapy in Treating Patients With Stage III Non-Small Cell Lung Cancer,COMPLETED,,PHASE2,,,,,TREATMENT,2000-08,,2005-12,2003-01-27,2013-06-20,National Cancer Institute (NCI),,Lung Cancer,mutant p53 peptide pulsed dendritic cell vaccine; adjuvant therapy,Disease-free survival by CTEP CTC v2.x; Overall survival by CTEP CTC v2.x; Toxicity by CTEP CTC v2.x,United States,
NCT00135681,Immune Dysregulation in Children and Adults With Asthma,COMPLETED,,NA,,,,,TREATMENT,1996-12,,2001-11,2005-08-26,2016-01-15,University of New Mexico,"National Heart, Lung, and Blood Institute (NHLBI)",Asthma; Lung Diseases,nedocromil budesonide,,,
NCT00203879,Study of MAGE-3/Melan-A/gp 100/NA17 and rhIL-12 With/Out Low Dose IL-2 in Metastatic Melanoma,COMPLETED,,PHASE2,19,ACTUAL,RANDOMIZED,NONE,TREATMENT,2002-02,2006-05,2007-05,2005-09-20,2013-09-05,University of Chicago,,Metastatic Melanoma,"MAGE-3/Melan-A/gp100/NA PBMC, rhIL-12 (drug); MAGE-3/Melan-A/gp100/NA17 Peptide-pulsed autologous PBMC, rhIL-12 with IL-2","The primary hypothesis is immunization of patients with 4 melanoma antigen peptides will induce augmented specific IFN-.-producing CD8+ T cells against all 4 antigens simultaneously, and to determine the clinical response rate.",United States,
NCT00204516,Vaccination With Tumor mRNA in Metastatic Melanoma - Fixed Combination Versus Individual Selection of Targeted Antigens,COMPLETED,,"PHASE1,PHASE2",31,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2007-04,2011-08,2012-12,2005-09-20,2013-01-16,University Hospital Tuebingen,German Research Foundation,Malignant Melanoma,mRNA coding for melanoma associated antigens; GM-CSF,Tolerability,Germany,
NCT00228189,Carcinoembryonic Antigen-loaded Dendritic Cells in Advanced Colorectal Cancer Patients,COMPLETED,,"PHASE1,PHASE2",30,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2003-12,2010-11,2010-11,2005-09-28,2010-11-30,Radboud University Medical Center,,Colorectal Cancer; Liver Metastases,CEA-loaded dendritic cell vaccine,immunological response against carcinoembryonic antigen and the control protein KLH; Toxicity,Netherlands,
NCT00243529,Peptide-pulsed vs. RNA-transfected Dendritic Cell Vaccines in Melanoma Patients,COMPLETED,,"PHASE1,PHASE2",64,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2004-04,2009-02,,2005-10-24,2009-09-29,Radboud University Medical Center,Dutch Cancer Society,Melanoma Stage III or IV,autologous dendritic cell vaccine,Immune response,Netherlands,
NCT00263809,Safety and Performance of MIRASOL® PRT Treated Platelet Transfusion Products,COMPLETED,,EARLY_PHASE1,118,ACTUAL,RANDOMIZED,NONE,TREATMENT,2005-12,2007-10,2007-10,2005-12-09,2009-10-07,Terumo BCTbio,,Thrombocytopenia,Pathogen Reduction Technology,The platelet corrected count increment measured 1 hour post transfusion.,France,
NCT00510133,A Study of Active Immunotherapy With GRNVAC1 in Patients With Acute Myelogenous Leukemia (AML),COMPLETED,,PHASE2,21,ACTUAL,NA,NONE,TREATMENT,2007-07,2011-12,2014-08,2007-08-01,2019-07-09,"Asterias Biotherapeutics, Inc.",,Acute Myelogenous Leukemia,GRNVAC1,"Feasibility will be assessed by examining whether enough cells are collected during leukapheresis, whether enough vaccine is manufactured for at least 2 injections, and whether the patient is still in remission when the vaccine is released.",United States,
NCT00536120,The Effects of Tysabri Treatment on Vaccination Response and Lymphocyte Subsets in Subjects With Relapsing Forms of Multiple Sclerosis,COMPLETED,,PHASE4,60,ACTUAL,RANDOMIZED,NONE,,2008-01,2009-11,2009-12,2007-09-27,2017-02-15,Biogen,,Multiple Sclerosis,BG00002 (natalizumab); keyhole limpet hemocyanin (KLH); tetanus diphtheria toxoid vaccine (Td),Percentage of Keyhole Limpet Hemocyanin (KLH) Responders at Day 28 Post-Vaccination; Percentage of Tetanus Diphtheria Toxoid (Td) Responders at Day 28 Post-Vaccination,United States,
NCT00626483,Basiliximab in Treating Patients With Newly Diagnosed Glioblastoma Multiforme Undergoing Targeted Immunotherapy and Temozolomide-Caused Lymphopenia,COMPLETED,,PHASE1,34,ACTUAL,NA,NONE,TREATMENT,2007-04-24,2016-07-06,2016-07-06,2008-02-29,2021-03-09,Gary Archer Ph.D.,National Cancer Institute (NCI),Malignant Neoplasms Brain,RNA-loaded dendritic cell vaccine; basiliximab,"Functional capacity of CD4+,CD25+, CD127- T-regulatory cells",United States,
NCT00639639,Vaccine Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,COMPLETED,,PHASE1,42,ACTUAL,RANDOMIZED,NONE,TREATMENT,2006-02-06,2017-04-15,2022-06-01,2008-03-20,2023-03-13,Gary Archer Ph.D.,National Cancer Institute (NCI),Malignant Neoplasms of Brain,tetanus toxoid; therapeutic autologous dendritic cells; therapeutic autologous lymphocytes,Feasibility and safety of vaccination with cytomegalovirus pp65-LAMP mRNA-loaded dendritic cells (DCs) with or without autologous lymphocyte transfer,United States,
NCT00698711,Vaccination of Prostate Cancer Patients With MUC-2-KLH Conjugate Plus the Immunological Adjuvant QS21,COMPLETED,,PHASE1,15,ACTUAL,NA,NONE,TREATMENT,1997-11,2009-03,2009-03,2008-06-17,2012-01-31,Memorial Sloan Kettering Cancer Center,,Prostate Cancer,MUC-2-KLH,To determine an optimal dose of the MUC-2-KLH conjugate plus the immunological adjuvant QS21 in patient with prostate cancer that Induces an antibody response to MUC-2. and induces helper T and/or cytotoxic T cell response against MUC -2.; To determine the safety of immunization with MUC-2-KLH conjugate prepared using an MBS heterobifunctional linker plus QS21.; To determine the effect of MUC-2-KL,United States,
NCT00805389,Study to Compare the Efficacy of GSK Biologicals' Adjuvants in Combination With the Antigen of the Hepatitis B Vaccine,COMPLETED,,PHASE2,713,ACTUAL,RANDOMIZED,DOUBLE,PREVENTION,2008-12-15,2010-09-29,2011-07-14,2008-12-09,2018-08-20,GlaxoSmithKline,,Hepatitis B,Engerix-B™; Fendrix™; GSK Biologicals' Hepatitis B vaccines (GSK223192A); HBsAg (Booster injection),Number of Hepatitis B (HB)-Specific Cluster of Differentiation 4 (CD4+) T Cells .,Belgium; Germany,
NCT00834002,Dendritic Cell Vaccination for Patients With Acute Myeloid Leukemia in Remission,COMPLETED,,PHASE1,10,ACTUAL,NA,NONE,TREATMENT,2005-03,2007-11,2008-12,2009-02-02,2010-02-09,"University Hospital, Antwerp",,Acute Myeloid Leukemia (AML),injection of antigen-loaded cultured dendritic cells,acute toxicity of intradermal injections of WT1 mRNA-electroporated autologous dendritic cells; feasibility to generate functional DC vaccines from leukapheresis material from AML patient in remission,Belgium,
NCT00846456,Safe Study of Dendritic Cell (DC) Based Therapy Targeting Tumor Stem Cells in Glioblastoma,COMPLETED,,"PHASE1,PHASE2",20,ACTUAL,NA,NONE,TREATMENT,2009-01,2013-02,2013-02,2009-02-18,2015-10-20,Oslo University Hospital,,Glioblastoma; Brain Tumor,Dendritic cell vaccine with mRNA from tumor stem cells,Adverse events,,
NCT00861107,In-Situ Therapeutic Cancer Vaccine for Metastatic Cancer Combining AlloStim With Tumor Cryoablation,COMPLETED,,"PHASE1,PHASE2",50,ESTIMATED,NA,NONE,TREATMENT,2009-08,2011-03,2011-05,2009-03-13,2011-06-08,"Mirror Biologics, Inc.",,Metastatic Cancer,AlloStim-7; percutaneous tumor cryoablation; AlloStim-7; AlloStim8 or AlloStim-9,evaluation of any drug-related toxicity associated with AlloStim administration as well as the reversibility of such toxicity.,United States,
NCT00890032,Vaccine Therapy in Treating Patients Undergoing Surgery for Recurrent Glioblastoma Multiforme,COMPLETED,,PHASE1,50,ESTIMATED,NA,NONE,TREATMENT,2009-09,2014-10,2016-02,2009-04-29,2016-10-17,John Sampson,National Cancer Institute (NCI),Recurrent Central Nervous System Neoplasm,BTSC mRNA-loaded DCs,Feasibility and safety,United States,
NCT00923910,Wilm's Tumor 1 Protein Vaccine to Treat Cancers of the Blood,COMPLETED,,"PHASE1,PHASE2",10,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2008-02-22,2013-10-18,2016-11-15,2009-06-18,2017-04-12,National Cancer Institute (NCI),,"Leukemia, Acute Myelogenous (AML); Leukemia, Acute Lymphocytic (ALL); Leukemia, Chronic Myelogenous (CML); Myelodysplastic Syndrome (MDS); Non-Hodgkin's Lymphoma (NHL)",WT1 Peptide-Pulsed Dendritic Cells; Donor Lymphocytes; IL-4; KLH; WT1 Peptides; Endotoxin; Diphenhydramine; Acetaminophen,Toxicity; Number of Participants With Graft Versus Host Disease (GVHD) Greater Than or Equal to Grade 3,United States,
NCT00940004,Toll-like Receptor (TLR) Ligand Matured Dendritic Cell Vaccination in Melanoma Patients,COMPLETED,,"PHASE1,PHASE2",20,ACTUAL,RANDOMIZED,NONE,TREATMENT,2009-06,2014-11,2014-11,2009-07-15,2017-04-17,Radboud University Medical Center,,Melanoma,autologous dendritic cell vaccination,Toxicity of TLR-matured DC (part I) and immunological response upon vaccination with TLR-matured DC (part II),Netherlands,
NCT00978913,Transfected Dendritic Cell Based Therapy for Patients With Breast Cancer or Malignant Melanoma,COMPLETED,,PHASE1,31,ACTUAL,NA,NONE,TREATMENT,2009-09,2013-08,2014-05,2009-09-17,2015-08-19,Inge Marie Svane,,Breast Cancer; Malignant Melanoma,DC vaccine,to evaluate the toxicity of the vaccine in combination with Cyclophosphamide,Denmark,
NCT01066390,A Study on the Safety and Immunogenicity of Combined Intradermal and Intravenous Administration of an Autologous mRNA Electroporated Dendritic Cell Vaccine in Patients With Previously Treated Unresectable Stage III or IV Melanoma,COMPLETED,,PHASE1,18,ESTIMATED,NA,NONE,TREATMENT,2009-12,2013-11,2014-05,2010-02-10,2014-05-06,Bart Neyns,,Melanoma,TriMix-DC,a new tumor evaluation (PET/CT),Belgium,
NCT01269723,Effects of Sulforaphane (SFN) on Immune Response to Live Attenuated Influenza Virus in Smokers and Nonsmokers,COMPLETED,,NA,51,ACTUAL,RANDOMIZED,DOUBLE,,2010-12,2013-03,2013-03,2011-01-04,2014-01-29,"University of North Carolina, Chapel Hill","National Heart, Lung, and Blood Institute (NHLBI)",Smoking,Broccoli sprout homogenate; Alfalfa sprout homogenate,Interleukin 6 (IL-6) in NL after LAIV inoculation (expressed as area under curve for ratio of IL-6 to baseline) in smokers,United States,
NCT01278914,Trial of Vaccine Therapy With mRNA- Transfected Dendritic Cells in Patients With Androgen Resistant Metastatic Prostate Cancer,COMPLETED,,"PHASE1,PHASE2",,,,,,2002-02-01,2004-08-10,2006-07,2011-01-19,2023-05-08,Oslo University Hospital,,Prostate Cancer,Dendritic Cells (DC) prostate,,Norway,
NCT01278940,Trial of Vaccine Therapy With mRNA- Transfected Dendritic Cells in Patients With Advanced Malignant Melanoma,COMPLETED,,"PHASE1,PHASE2",31,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2002-03,2006-02,2015-12,2011-01-19,2016-08-15,Oslo University Hospital,,Malignant Melanoma,Dendritic Cells (DC) malignant melanoma; IL-2,Determination of safety and toxicity of vaccination with patients' tumour mRNA transfected DCs,,
NCT01363596,International NaProTechnology Evaluation and Surveillance of Treatment for Infertility and Miscarriage (iNEST),COMPLETED,,,834,ACTUAL,,,,2006-01,2016-12,2020-12,2011-06-01,2023-04-27,University of Utah,,Infertility; Miscarriage,Creighton Model System in conjunction with Natural Procreative Technology (NPT),NPT Live Birth Rate,Canada; Poland; United Kingdom; United States,
NCT01431196,Trial With Autologous Dendritic Cell Vaccination in Patients With Stage II-III HER2 Negative Breast Cancer,COMPLETED,,PHASE2,29,ACTUAL,NA,NONE,TREATMENT,2011-02,2012-06,2013-12,2011-09-09,2016-05-19,"Clinica Universidad de Navarra, Universidad de Navarra",Spanish Clinical Research Network - SCReN; National Institutes of Health (NIH),Stage II Breast Cancer; Stage III Breast Cancer,Autologous dendritic cell vaccination,pathologic complete response (pCR) in the breast and the axilla,Spain,
NCT01440816,IL-12 Gene and in Vivo Electroporation-Mediated Plasmid DNA Vaccine Therapy in Patients With Merkel Cell Cancer,COMPLETED,,PHASE2,15,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2012-01-03,2015-04-10,2015-04-10,2011-09-27,2023-05-15,OncoSec Medical Incorporated,National Cancer Institute (NCI),Merkel Cell Carcinoma,Tavokinogene Telseplasmid (tavo); OncoSec Medical System (OMS),Percentage of Participants Who Experienced At Least 2-Fold Increase in Expression of IL-12 Protein in the Tumor Tissue After Intratumoral (IT) pIL-12 Injections and In Vivo Electroporation,United States,
